Year,Mean
Year mean_1963,7738.714285714285
Year mean_1965,7634.083333333333
Year mean_1966,8347.76923076923
Year mean_1967,8267.857142857143
Year mean_1968,8168.666666666667
Year mean_1969,9176.066666666668
Year mean_1970,9484.066666666668
Year mean_1971,9631.666666666666
Year mean_1973,11253.058823529413
Year mean_1975,12588.75
Year mean_1976,13003.0
Year mean_1977,13562.7
Year mean_1978,14548.85
Year mean_1979,14410.047619047618
Year mean_1980,15126.454545454546
Year mean_1981,16023.09090909091
Year mean_1982,16333.40909090909
Year mean_1983,17164.227272727272
Year mean_1984,18370.772727272728
Year mean_1985,18407.545454545456
Year mean_1986,19875.652173913044
Year mean_1987,21425.739130434784
Year mean_1988,21542.434782608696
Year mean_1989,21084.208333333332
Year mean_1990,22218.0
Year mean_1991,21285.041666666668
Year mean_1992,21743.0
Year mean_1993,22113.625
Year mean_1994,22953.125
Year mean_1995,23555.125
Year mean_1996,23413.5
Year mean_1997,24533.291666666668
Year mean_1999,26666.875
Year mean_2003,28850.875
Year mean_2004,29859.541666666668
Year mean_2005,29367.0
Year mean_2006,29024.875
Year mean_2007,26962.083333333332
Year mean_2008,31045.91304347826
Year mean_2009,30474.708333333332
Year mean_2010,35836.04347826087
Year mean_2011,33339.375
Year mean_2012,33621.333333333336
Year mean_2013,32752.25
Year mean_2014,32896.47826086957
Year mean_2015,33299.791666666664
Year mean_2016,34690.291666666664
Year mean_2017,35638.391304347824
Year mean_2018,41938.25
Year mean_2019,41019.22727272727
Year mean_2020,32160.833333333332
Year mean_2021,34237.75
Year mean_2022,34987.8
Year mean_2023,37054.6
